gene,cell_type,source,source_version
ADGRV1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PLEKHA7,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ANKDD1A,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NTSR2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
DCLK2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BCL2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
KNDC1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FUT9,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
HPSE2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ZHX3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ACBD7,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GPC5,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RNF182,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
OR6T1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FAM181B,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
HHIPL1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
B4GALNT4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SLC25A18,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ZNRF3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
POU3F2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TPCN1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
DCHS2,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
OR6C74,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RYR3,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GABBR1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PIRT,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MEIKIN,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
REELD1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TRIL,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
OR9A4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SPON1,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NBPF19,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
GRIFIN,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PRICKLE4,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NOTCH2NLB,Astrocytes,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD79B,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
P2RX5,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD37,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FCER2,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CR2,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
LY9,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
NPBWR2,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD70,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
VPREB3,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FCRLA,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BLK,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD72,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BANK1,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MS4A1,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TNFRSF13C,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CXCR5,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
MATN1,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FCMR,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FCRL4,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
FCRL1,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
SERPINA9,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PARP15,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
TLR10,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CD19,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
BTLA,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
LCN10,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
CNR2,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
PAX5,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
ZNF860,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
RCSD1,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
OR2T5,B-cells,Ding et al. CellAge author-published marker mapping; HPA-derived,a0de4a124e0a41986185a090fb142c6c8195399e
